,아이스(헤즐럿),ice (hazelnut),アイス（ヘジュルロッ）,冰榛果咖啡
,아이스아메리카노,ice Americano,アイスアメリカノ,冰美式咖啡
,아이스에스프레소,ice espresso,アイスエスプレソ,冰意式浓缩咖啡
,아이스카푸치노,ice cappuccino,アイスカプチノ,冰卡布奇诺
,아이스카페아메리카노,ice caffè Americano,アイスカペアメリカノ,冰美式咖啡
,아이스카페모카,ice caffè mocha ,アイスカペモカ,冰摩卡
,아이스카페라떼,ice caffè latte,アイスカペラテ,冰拿铁
,아이스카라멜블랜디드,ice caramel blended,アイスカラメル・ブルレンディドゥ,冰焦糖咖啡
,아이스카라멜카페모카,ice caramel caffè mocha,アイスカラメルカペモカ,冰焦糖摩卡
,아이스카라멜치노,ice caramelccino,アイスカラメルチノ,冰焦糖卡布奇诺
,아이스카라멜마끼아또,ice caramel macchiato,アイスカラメルマキアト,冰焦糖玛奇朵
,아이스크림,ice cream,アイスクリム,冰淇淋 
,아이스크림,ice cream,アイスクリム,冰淇淋 
,아이스크림과 카라멜소스,ice cream gwa caramel sauce,アイスクリムグァ・カラメルソス,焦糖冰淇淋
,아이스크림와플,ice cream waffle,アイスクリムワプル,冰淇淋华夫饼
,아이스그린티블랜디드,ice green tea blended,アイスグリンティ・ブルレンディドゥ,冰绿茶咖啡
,아이스크림팥빙수,ice cream patbingsu,アイスクリンパッピンス,冰淇淋红豆刨冰
,아이스쿨믹스커피,ice cool mix coffee,アイスクルミクスコピ,冰速溶咖啡
,아이스코코아,ice cocoa,アイスココア,冰可可
,아이스커피,ice coffee,アイスコピ,冰咖啡
,아이스커피에스프레소,ice coffee espresso,アイスコピエスプレソ,冰意式浓缩咖啡
,아이스생크림모카,ice saeng cream mocha,アイスセンクリンモカ,冰鲜奶油摩卡
,아이스초코,ice choco,アイスチョコ,冰可可
,아이스초코블랜디드,ice choco blended,アイスチョコ・ブルレンディドゥ,冰巧克力咖啡
,아이스초코라떼,ice choco latte,アイスチョコラテ,冰巧克力拿铁
,아이스티,ice tea,アイスティ,冰红茶
,아이스티,ice tea,アイスティ,冰红茶
,아이스녹차라떼,ice nokcha latte,アイスノクチャラテ,冰绿茶拿铁
,아이스바닐라블랜디드,ice vanilla blended ,アイスバニルラ・ブルレンディドゥ,冰香草咖啡
,아이스바닐라라떼 ,ice vanilla latte,アイスバニルララテ,冰香草拿铁
,아이스피치자스민블랜디드 ,ice peach jasmine blended,アイスピチジャスミン・ブルレンディドゥ,冰蜜桃茉莉咖啡
,아이스화이트모카 ,ice white mocha,アイスファイトゥモカ,冰白摩卡
,아이스화이트모카블랜디드,ice white mocha blended,アイスファイトゥモカ・ブルレンディドゥ,冰白摩卡咖啡
,아이스황도,ice hwangdo,アイスファンド,冰黄桃
,아이스홍시잣샤벨,ice hongsi jat sherbet,アイスホンシジャッ・シャベル,冰冻红柿松子露
,아이스홍차라떼,ice hongcha latte,アイスホンチャラテ,冰红茶拿铁
,아이스모카,ice mocha,アイスモカ,冰摩卡
,아이스모카블랜디드,ice mocha blended,アイスモカ・ブルレンディドゥ,冰摩卡咖啡
